,gene,hl_rep1,hl_rep2,hl_rep3,hl_avg
5448,YBR049C,6.390900569984566,8.924912452818493,9.249570829069771,8.18846128395761
596,YML092C,6.847454191460522,11.121059738057738,6.623265220847601,8.19725971678862
1654,YJR069C,,5.816839822775845,10.658061299818533,8.237450561297189
2745,YOL149W,,5.564160990203625,10.95515145100568,8.259656220604652
2031,YLR319C,,7.04760765384013,9.474259040988796,8.260933347414463
4321,YOL093W,,6.458343657433385,10.074438082604367,8.266390870018876
3602,YLR059C,,7.268722558802568,9.273886249955783,8.271304404379176
351,YMR282C,,,8.285765767217509,8.285765767217509
5059,YMR078C,,,8.29355521983903,8.29355521983903
5217,YDR267C,,6.872566255204766,9.714899070809953,8.29373266300736
43,YHR135C,9.554098891486895,7.625707555364983,7.729234216753179,8.303013554535019
2367,YMR123W,,5.1867314848021495,11.420492660236798,8.303612072519474
3196,YPL141C,,9.475377535847604,7.139251206667467,8.307314371257537
53,YJL014W,9.418407609380179,8.3915401260869,7.182485394683592,8.330811043383557
1330,YNL002C,9.917610137237801,,6.8011047950799695,8.359357466158885
1289,YOR232W,11.44068878788294,4.238197368983817,9.400347518666548,8.359744558511101
1575,YBL024W,9.311095715747713,5.513849184743475,10.274892610879942,8.366612503790376
1859,YPR143W,7.951357513346121,,8.787813892554658,8.369585702950388
1012,YCR092C,,10.605196728577317,6.135381863013584,8.37028929579545
2120,YHR149C,,11.484014998077821,5.281566555041524,8.382790776559673
3661,YHR127W,12.874782535731727,5.651482189826973,6.666214774378259,8.397493166645653
943,YKL167C,7.890587490040397,5.191504894708526,12.148646735456824,8.410246373401916
5329,YDR349C,10.818580862506046,5.993743964532199,8.424174634109427,8.412166487049225
1430,YDR346C,10.823376846335883,5.197908885183364,9.297175817129512,8.43948718288292
6165,YML083C,,,8.444624751056176,8.444624751056176
3284,YDR441C,,6.023223208621253,10.940273992113468,8.48174860036736
2807,YLR322W,,,8.489697040309505,8.489697040309505
2343,YNR009W,,6.019171662035854,10.97152420886453,8.49534793545019
5354,YGR003W,,,8.501835150449644,8.501835150449644
6142,YLR465C,13.163055470581767,,3.8546459005017586,8.508850685541763
1687,YDL063C,,,8.511256992845587,8.511256992845587
2435,YPR169W,6.413101829859522,8.713798751148628,10.459704706214108,8.528868429074086
3096,YGR177C,,5.335825480135191,11.735964335070783,8.535894907602987
1277,YPL238C,5.355989124689393,7.91150332624154,12.340547258363385,8.536013236431439
1535,YDR083W,,,8.546067039946491,8.546067039946491
909,YOR167C,,10.391346180890444,6.7214120434969225,8.556379112193683
1107,YLR292C,8.732609503134533,5.976496954099464,10.988876554894635,8.56599433737621
2064,YOR308C,6.049490648248367,,11.141493343677602,8.595491995962984
391,YLR141W,,,8.638544943715864,8.638544943715864
3898,YGL213C,,6.025751892432185,11.253512719105222,8.639632305768703
643,YOL006C,12.489035801654513,6.193736378253234,7.237903929529985,8.640225369812578
5509,YGR053C,,,8.64545666280695,8.64545666280695
1307,YPR145W,6.13651411474892,7.7860417597576355,12.034366979045455,8.652307617850669
198,YGR119C,,8.667554865065242,,8.667554865065242
5727,YCL024W,13.010288253370225,4.817855537505356,8.188411975857617,8.672185255577732
770,YER025W,9.666422974174104,10.363363601317474,6.060505995171094,8.696764190220891
3275,YIL161W,,,8.734986493803326,8.734986493803326
2537,YNR046W,,7.7832286011155505,9.711133207218415,8.747180904166983
1288,YLR180W,5.859307792136047,8.16243676163597,12.270592593951799,8.764112382574604
3969,YOR262W,,6.7797427439279,10.760552808801155,8.770147776364528
3752,YBR247C,14.071164684806105,5.28626540028857,6.9701529947847165,8.775861026626464
2568,YHR081W,8.992808565778974,5.674343329123768,11.670185619626446,8.779112504843063
2116,YGL072C,,8.360596122360352,9.260542044990562,8.810569083675457
3157,YBR266C,19.618602776040223,1.6585387895023302,5.17838568818364,8.818509084575398
1890,YPL043W,16.28691862585685,3.5795313124567527,6.619193119881289,8.828547686064963
2052,YHR187W,,,8.834593038013377,8.834593038013377
4868,YOR201C,,8.72043794621821,8.95727407449599,8.8388560103571
4160,YOL017W,,6.677051779891638,11.006241410890134,8.841646595390886
774,YLR291C,,,8.841960920170905,8.841960920170905
3834,YHR072W,9.678345061495643,8.452381449092202,8.395289068546623,8.842005193044821
695,YLR147C,,,8.849260635455021,8.849260635455021
1317,YNL255C,7.293585435571194,7.663287387355547,11.636256518205304,8.864376447044014
5310,YCR096C,7.8653965478985155,11.250230711541535,7.530010061363035,8.881879106934361
5296,YDR146C,8.866863455569572,10.75162356895768,7.06708044492386,8.895189156483704
1419,YBR038W,,,8.896189240504397,8.896189240504397
416,YKL122C,,5.794311054010547,12.019129586932383,8.906720320471464
1669,YNL061W,12.224501125489507,6.005658937676344,8.527086377086784,8.91908214675088
775,YKR026C,11.496150647411726,7.928228867920345,7.392839578790133,8.939073031374067
708,YBR055C,,9.452359768590707,8.428089841021654,8.940224804806181
3434,YOL147C,,6.003755226829381,11.879921165113947,8.941838195971664
202,YGL100W,12.519125471160258,6.235956118766948,8.07430577382669,8.9431291212513
3064,YML121W,,6.988299703521394,10.909292152417482,8.948795927969439
4150,YOL144W,,,8.961412536245618,8.961412536245618
3191,YGR187C,,,8.965809386269893,8.965809386269893
683,YNL282W,17.23583469278081,5.368418535262591,4.333488139421726,8.979247122488376
1955,YHR088W,12.679377170011415,6.13513348914731,8.196872239559445,9.003794299572723
5102,YGL083W,13.681557454823574,5.958483563687811,7.396482400415173,9.01217447297552
1978,YLR186W,,,9.018528405063542,9.018528405063542
3274,YMR039C,,,9.02247193258532,9.02247193258532
1250,YML106W,5.971885787881796,12.477245787909709,8.646908593049954,9.03201338961382
4280,YJL198W,13.333925014917394,5.295658213053144,8.475546532114263,9.0350432533616
1269,YER055C,8.752234002300751,7.721634360109827,10.643454202412753,9.039107521607777
2344,YNL186W,17.213338396360893,3.995112901831833,5.909953159711054,9.039468152634594
4072,YKL173W,9.334078972685122,,8.767424299624308,9.050751636154715
1603,YJL122W,16.571560453207507,3.2527632953651637,7.328014630745361,9.050779459772677
6034,YBL112C,18.587952289038686,2.9094994410540043,5.693937836422855,9.063796522171849
55,YIL142W,14.994251341879478,8.17549437475444,4.025598901722713,9.065114872785545
239,YOR213C,,6.431093888582966,11.706429107030093,9.06876149780653
5529,YFL023W,13.287226462944126,6.95171173794162,6.992487718438814,9.077141973108187
2037,YGR095C,,6.291762746615418,11.866285039076761,9.07902389284609
2074,YNL332W,,,9.08142358106715,9.08142358106715
3004,YPR125W,,10.990766792439564,7.190535925594188,9.090651359016876
658,YBL035C,,12.156311436428284,6.067998135220348,9.112154785824316
1695,YEL046C,11.984558836225956,5.614531298668316,9.798084481151436,9.132391538681903
2570,YMR185W,13.00122912898951,3.641662807558475,10.779089731562193,9.140660556036726
4715,YNL089C,12.002748528408063,6.541420355065726,8.969938903720177,9.171369262397988
3293,YPL112C,9.820948981313832,8.167145193282577,9.551578696521688,9.179890957039365
4997,YBR133C,12.764773464239347,6.557404769489495,8.334094614776673,9.218757616168505
5544,YBR138C,,6.702133803617463,11.75451802070187,9.228325912159667
6144,YER190W,13.696386291172445,,4.766764769874365,9.231575530523404
2022,YNL154C,11.98117519072814,7.006707068711412,8.740515528965966,9.242799262801839
5880,YCR040W,12.723245905655428,8.066699295682147,6.963538386372915,9.251161195903496
245,YJL194W,16.75048015598009,,1.7636518777985788,9.257066016889334
4368,YIL047C,11.893476706689555,4.633046730551237,11.250249395157919,9.258924277466237
178,YNL121C,7.394435262956881,10.07496428920135,10.384092881389497,9.284497477849243
366,YOR340C,18.12759141966978,4.998982990716139,4.825970138626592,9.317514849670838
513,YDR167W,,10.482540557842107,8.177729703086223,9.330135130464164
4458,YNL169C,,,9.344967360809896,9.344967360809896
777,YDR429C,15.806885391887821,6.456608758560869,5.779264453417697,9.347586201288795
2559,YOR281C,13.550907376234116,6.147417861404308,8.358134615850119,9.35215328449618
3835,YLR079W,,8.15252788450886,10.574894699428297,9.363711291968578
1829,YMR002W,12.710738456309473,4.424755755011219,10.956647311750682,9.364047174357124
1876,YPL244C,14.387029371637322,5.6285156369408815,8.093628463112523,9.369724490563575
6168,YKL223W,13.80173072021673,7.16080281018975,7.148209228713007,9.370247586373162
1713,YCL031C,14.375116894008132,4.381576263607819,9.399560865468878,9.385418007694943
1073,YIL021W,11.827932143495186,8.7836204377386,7.557376746041736,9.38964310909184
1460,YLR196W,8.970112033006373,,9.817633408052787,9.39387272052958
575,YHR005C-A,10.159031503253635,8.364866911549994,9.739160431016131,9.421019615273254
5894,YBR235W,12.860524318001449,6.206115047117032,9.198575978808478,9.421738447975653
